conversation_id,turn_id,generated
393,1,Hello what did you think about the article
393,2,Hello what did you think about the article
393,3,how did you feel about this article?
393,4,how did you feel about this article?
393,5,How do you feel about this article?
393,6,how did you feel about this article?
393,7,how did you feel about this article?
393,8,how did you feel about this article?
393,9,how did you feel about this article?
393,10,how did you feel about this article?
393,11,"Same here. I don't know why you'd ever enjoy having your personal life and situations splashed on every tabloid. I can understand somewhat if you're a celeb. It comes with the job, but if her parents aren't famous except by her it seems terrible to publish their business"
393,12,how did you feel about this article?
393,13,How do you feel about this article?
393,14,How do you feel about this article?
393,15,How do you feel about this article?
393,16,How do you feel about this article?
393,17,How do you feel about this article?
393,18,how did you feel about this article?
393,19,How do you feel about this article?
393,20,How do you feel about this article?
393,21,how did you feel about this article?
393,22,How do you feel about this article?
393,23,How do you feel about this article?
393,24,How do you feel about this article?
393,25,How do you feel about this article?
393,26,How do you feel about this article?
393,27,How do you feel about this article?
393,28,How do you feel about this article?
393,29,How do you feel about this article?
393,30,How do you feel about this article?
394,1,Didn't know much about that. Were  they once together?
394,2,Didn't know much about that. Were  they once together?
394,3,That's true. Are you a fan of Billy BOb Thornton or Angelina Jolie?
394,4,That's true. Are you a fan of Billy BOb Thornton or Angelina Jolie?
394,5,That's true. Are you a fan of Billy BOb Thornton or Angelina Jolie?
394,6,That's true. Are you a fan of Billy BOb Thornton or Angelina Jolie?
394,7,That's true. Are you a fan of Billy BOb Thornton or Angelina Jolie?
394,8,That's true. Are you a fan of Billy BOb Thornton or Angelina Jolie?
394,9,That's true. Are you a fan of Billy BOb Thornton or Angelina Jolie?
394,10,That's true. Are you a fan of Billy BOb Thornton or Angelina Jolie?
394,11,That's true. Are you a fan of Billy BOb Thornton or Angelina Jolie?
394,12,Yea it wasn't a great time :( I feel for all the guys jolie has dated because if shes anothing like my ex those guys deserve some space.
394,13,"Same here. I don't know why you'd ever enjoy having your personal life and situations splashed on every tabloid. I can understand somewhat if you're a celeb. It comes with the job, but if her parents aren't famous except by her it seems terrible to publish their business"
394,14,Very much so. The divorce rate with celebrities is outrageous because of their lifestyle. I always like to hear about celebs who've been married for 15+ years. It's so rare.
394,15,"Same here. I don't know why you'd ever enjoy having your personal life and situations splashed on every tabloid. I can understand somewhat if you're a celeb. It comes with the job, but if her parents aren't famous except by her it seems terrible to publish their business"
394,16,Very much so. The divorce rate with celebrities is outrageous because of their lifestyle. I always like to hear about celebs who've been married for 15+ years. It's so rare.
394,17,"I only slightly cared about the article was my parents were divorced when I was around 8 or 9. Like you said though, they are much older than I was, so they should be able to cope better."
394,18,probably not. I'm not sure whatever happened to him. Do you think Brad was really abusive towards their children like the article mentioned?
394,19,"yes agreed it seems so much and then he was probably insecure and controlling as she was pretty and young they were not happy, cant believe it end in killing tho"
394,20,"yes agreed it seems so much and then he was probably insecure and controlling as she was pretty and young they were not happy, cant believe it end in killing tho"
394,21,"I only slightly cared about the article was my parents were divorced when I was around 8 or 9. Like you said though, they are much older than I was, so they should be able to cope better."
394,22,"I only slightly cared about the article was my parents were divorced when I was around 8 or 9. Like you said though, they are much older than I was, so they should be able to cope better."
394,23,"I only slightly cared about the article was my parents were divorced when I was around 8 or 9. Like you said though, they are much older than I was, so they should be able to cope better."
394,24,"I only slightly cared about the article was my parents were divorced when I was around 8 or 9. Like you said though, they are much older than I was, so they should be able to cope better."
394,25,"I only slightly cared about the article was my parents were divorced when I was around 8 or 9. Like you said though, they are much older than I was, so they should be able to cope better."
394,26,"I only slightly cared about the article was my parents were divorced when I was around 8 or 9. Like you said though, they are much older than I was, so they should be able to cope better."
394,27,I think fame and money just means more opportunities to cheat. Most guys that have been married 20-30 years probably don't have that many opportunities with attractive younger people.
394,28,I think fame and money just means more opportunities to cheat. Most guys that have been married 20-30 years probably don't have that many opportunities with attractive younger people.
394,29,"I only slightly cared about the article was my parents were divorced when I was around 8 or 9. Like you said though, they are much older than I was, so they should be able to cope better."
394,30,I think fame and money just means more opportunities to cheat. Most guys that have been married 20-30 years probably don't have that many opportunities with attractive younger people.
394,31,"I only slightly cared about the article was my parents were divorced when I was around 8 or 9. Like you said though, they are much older than I was, so they should be able to cope better."
394,32,I think fame and money just means more opportunities to cheat. Most guys that have been married 20-30 years probably don't have that many opportunities with attractive younger people.
394,33,I think fame and money just means more opportunities to cheat. Most guys that have been married 20-30 years probably don't have that many opportunities with attractive younger people.
394,34,I think fame and money just means more opportunities to cheat. Most guys that have been married 20-30 years probably don't have that many opportunities with attractive younger people.
396,1,I wonder how those children grew up. It's a terrible situation for the moms as well as the children that were born
396,2,I wonder how those children grew up. It's a terrible situation for the moms as well as the children that were born
396,3,"Hi, I thought the article was dreadfully sad. I can't imagine being those parents."
396,4,"It's definitely really sad to read, considering everything they're all going through. What did you think?"
396,5,I found it kinda hard to connect to this article.  It's defiitely sad for the families involved.
396,6,Yes for sure. It is good to see that this may not happen again in the future. Can you imagine how his adoptive family must have felt?
396,7,Yes for sure. It is good to see that this may not happen again in the future. Can you imagine how his adoptive family must have felt?
396,8,Yes for sure. It is good to see that this may not happen again in the future. Can you imagine how his adoptive family must have felt?
396,9,Yes for sure. It is good to see that this may not happen again in the future. Can you imagine how his adoptive family must have felt?
396,10,Yes for sure. It is good to see that this may not happen again in the future. Can you imagine how his adoptive family must have felt?
396,11,I really am not sure how I feel about this article. I think that parents in this situation need to face some type of punishment.
396,12,I really am not sure how I feel about this article. I think that parents in this situation need to face some type of punishment.
396,13,How did this article make you feel?
396,14,"I thought the article was very thought provoking and in line with things I felt already, that empathy is severely lacking in society in general. People are too dismissive of those suffering and assume they made choices to put themselves in that situation."
396,15,I really am not sure how I feel about this article. I think that parents in this situation need to face some type of punishment.
396,16,I really am not sure how I feel about this article. I think that parents in this situation need to face some type of punishment.
396,17,"I thought the article was very thought provoking and in line with things I felt already, that empathy is severely lacking in society in general. People are too dismissive of those suffering and assume they made choices to put themselves in that situation."
396,18,I really am not sure how I feel about this article. I think that parents in this situation need to face some type of punishment.
396,19,I really am not sure how I feel about this article. I think that parents in this situation need to face some type of punishment.
396,20,"I thought the article was very thought provoking and in line with things I felt already, that empathy is severely lacking in society in general. People are too dismissive of those suffering and assume they made choices to put themselves in that situation."
396,21,how did you feel about this article?
396,22,how did you feel about this article?
396,23,how did you feel about this article?
396,24,how did you feel about this article?
396,25,how did you feel about this article?
396,26,I really am not sure how I feel about this article. I think that parents in this situation need to face some type of punishment.
396,27,I really am not sure how I feel about this article. I think that parents in this situation need to face some type of punishment.
396,28,I really am not sure how I feel about this article. I think that parents in this situation need to face some type of punishment.
396,29,I really am not sure how I feel about this article. I think that parents in this situation need to face some type of punishment.
396,30,I really am not sure how I feel about this article. I think that parents in this situation need to face some type of punishment.
396,31,I really am not sure how I feel about this article. I think that parents in this situation need to face some type of punishment.
396,32,"I thought the article was very thought provoking and in line with things I felt already, that empathy is severely lacking in society in general. People are too dismissive of those suffering and assume they made choices to put themselves in that situation."
396,33,How did this article make you feel?
396,34,How did this article make you feel?
396,35,How did this article make you feel?
396,36,How did this article make you feel?
396,37,How did this article make you feel?
396,38,How did this article make you feel?
398,1,hey what did you think of the article
398,2,hey what did you think of the article
